1, 게르니카 Guernica, 파블로 피카소 Pablo Ruiz Picasso, 1937
2, 귀에 붕대를 감은 자화상 Self-Portrait with Bandaged Ear , 빈센트 반 고흐 Vincent van Gogh, 1989
3, 그랑드자트섬의 일요일 오후 Un dimanche après-midi à l'Île de la Grande Jatte, 조르주 쇠라 Georges-Pierre Seurat, 1886
4, 그리스도의 세례 The Baptism of Christ, 레오나르도 다 빈치, 안드레아 델 베로키오 Leonardo di ser Piero da Vinci, Andrea del Verrocchio, 1475
5, 기타 치는 노인 The Old Guitarist, 파블로 피카소 Pablo Picasso, 1904
6, 라크로의 추수 The harvest, 빈센트 반 고흐 Vincent van Gogh, 1888
7, 론강의 별이 빛나는 밤에 Starry Night Over the Rhône, 빈센트 반 고흐 Vincent van Gogh, 1888
8, 만종 The Angelus, 장프랑수아 밀레 	Jean-François Millet, 1859
9, 모나리자 Mona Lisa, 레오나르도 다 빈치 Leonardo di ser Piero da Vinci, 1503
10, 물랭 드 라 갈래트의 무도회 Dance at Le Moulin de la Galette, 오귀스트 르누아르 Pierre Auguste Renoir, 1876
11, 민중을 이끄는 자유의 여신 Liberty Leading the People, 외젠 들라크루아 Eugène Delacroix, 1830
12, 발레 연습 The Rehearsal, 에드가 드가 Edgar Degas, 1873
13, 별이 빛나는 밤 The Starry Night, 빈센트 반 고흐 Vincent Van Gogh, 1889
14, 봄(잔느) Spring(Jeanne), 에두아르 마네 Edouard Manet, 1881
15, 분홍 장미 Pink Roses, 빈센트 반 고흐 Vincent Van Gogh, 1890
16, 붓꽃 Irises, 빈센트 반 고흐 Vincent Van Gogh, 1889
17, 브로드웨이 부기우기 Broadway Boogie Woogie, 피트 몬드리안 Piet Mondrian, 1943
18, 비너스의 탄생 La nascita di Venere, 산드로 보티첼리 Sandro Botticelli, 1486
19, 삼나무가 있는 밀밭 Wheat Field with Cypresses, 빈센트 반 고흐 Vincent Van Gogh, 1889
20, 시녀들 The Maids of Honour, 디에고 벨라스케스 Diego Rodríguez de Silva y Velázquez, 1656
21, 시스틴 마돈나 The Sistine of Madonna, 라파엘로 산치오 Sanzio Raffaello, 1512
22, 아담의 창조 The Creation of Adam, 미켈란젤로 Michelangelo di Lodovico Buonarroti Simoni, 1511
23, 아테네 학당 Scuola di Atene, 라파엘로 산치오 Raffaello Sanzio da Urbino, 1511
24, 에우로페의 납치 Rape of Europa, 티치아노 Tiziano Vecellio, 1562
25, 원숭이와 함께 한 자화상 Self-Portrait with Monkey, 프리다 칼로 Frida Kahlo, 1938
26, 이레느 깡 단베르양의 초상 Portrait of Irène Cahen d'Anvers, 오귀스트 르누아르 Pierre-Auguste Renoir, 1880
27, 이삭 줍는 여인들 The Gleaners, 장 프랑수아 밀레 Jean-François Millet, 1857
28, 젊은 여인의 초상(검은 리본 밀짚 모자) Portrait of a young girl(Straw hat with Black Ribbon), 앨버트 린치 (Albert Lynch), ?
29, 진주 귀고리를 한 소녀 Girl with a Pearl Earring, 요하네스 페르메이르 Johannes Vermeer, 1665
30, 초원의 성모 Madonna del Prato, 라파엘로 산치오 Raffaello Sanzio da Urbino, 1506
31, 최후의 만찬 The Last Supper, 레오나르도 다 빈치 Leonardo di ser Piero da Vinci, 1490
32, 큰 모자를 쓴 잔 에뷔테른 Portrait of Woman in Hat, 아메데오 모딜리아니 Amedeo Modigliani, 1918
33, 키스 Kiss, 구스타프 클림트 Gustav Klimt, 1908
34, 타히티의 여인들 Femmes de Tahiti, 폴 고갱 Paul Gauguin, 1891
35, 프랑스 바닝 코크대장의 부대(야경) Night Watch, 렘브란트 하르먼손 판 레인 Rembrandt Harmenszoon van Rijn, 1642
36, 피리부는 소년 Le Joueur de fifre, 에두아르 마네 Édouard Manet, 1866
37, 흰 족제비를 안은 여인 Lady with an Ermine, 레오나르도 다 빈치 Leonardo di ser Piero da Vinci, 1490
